MOLECULE,OUTCOME,,,
CC(C)(CNC(=O)N1CCC(C2=NC(C3=NC4=C(C=CC=C4)C=C3)=NO2)CC1)N1CCOCC1,4.552841969,4.447158031,27999.99998,0
CC(C)N1CCC[C@@H](CN2CCN(C(=O)NC3=CC(Cl)=C(Cl)C=C3)CC2)C1,5.886056648,3.113943352,1299.999999,1
CC(C)N1CCN[C@@H](CN2CCN(C(=O)NC3=CC(Cl)=C(Cl)C=C3)CC2)C1,5.251811973,3.748188027,5600,1
CC(=O)N1CCC[C@@H](C2=NC(C3=C(F)C=C(C(=O)NC4=NC=CC(C(F)(F)F)=C4)C=C3)=C3C(N)=NC=CN23)C1,5.619788758,3.380211242,2400.000002,1
CC(=O)N1CCO[C@@H](C2=NC(C3=C(F)C=C(C(=O)NC4=NC=CC(C(F)(F)F)=C4)C=C3)=C3C(N)=NC=CN23)C1,4.721246399,4.278753601,19000,0
CC(=O)N1CCC2=C(C1)N=C(N[C@H]1CCOC1)C(N1CCC(OC3=C(F)C=C(F)C=C3)CC1)=N2,6.296708622,2.703291378,504.9999999,1
CC(C1=CC=CC=C1)N1[C@H]2CC[C@@H]1C[C@@H](OC1=CC(C(N)=O)=CC=C1)C2,8.22184875,0.77815125,5.999999995,1
CC(C1=CC=NC=C1)N1[C@H]2CC[C@@H]1C[C@@H](OC1=CC(C(N)=O)=CC=C1)C2,8.431798276,0.568201724,3.699999999,1
CC(=O)N1CCOC2=C1C=C1CCN(CCCSC3=NN=C(C4=CC=CC5=NC(C)=CC=C45)N3C)CCC1=C2,5,4,10000,1
CC(C)(C)NC(=O)C1C2=C(C=CC=C2O)C(=O)N1CC1=CC=CC=C1C1=CC=CC=C1,4.552841969,4.447158031,27999.99998,0
CC(C)(C)NC(=O)C1C2=C(C=C(NS(C)(=O)=O)C=C2)C(=O)N1CC1=CC=CC=C1C1=CC=CC=C1,4.823908741,4.176091259,15000,0
CC(C)(C)NC(=O)C1C2=C(C=CC=C2)C(=O)N1CC1=CC=CC=C1C1=CC=CC=C1,4.207608311,4.792391689,61999.99993,0
CC(C)(C)NC(=O)C1=CNC2=C1N=C(C1=NN(CCCN3CCOCC3)C3=CC=C(OC(F)F)C=C31)C=N2,5.841637508,3.158362492,1440,1
CC(C)NC(=O)C1=CC=C(C2=CC3=C(C=C2)C(=O)N(CCN2CCCC2)CC3)C=C1,5.207608311,3.792391689,6199.999993,1
CC(=O)NCCN(CCC1=CC=C(Cl)C=C1)C1CCN(C2=NC(N)=NN2)CC1,5.48148606,3.51851394,3300.000001,1
CC(=O)NCCC1=C(C2=CC(C)=C([C@H]3CNCC[C@@]34OC(=O)C3=CC(F)=C(F)C=C34)C=C2)C=CC=C1,4.88941029,4.11058971,12899.99999,0
CC(=O)NCCC1=C(C2=CC(Cl)=C([C@H]3CNCC[C@@H]3C3=CN=CC=C3)C=C2)C=CC=C1,5.318758763,3.681241237,4799.999996,1
CC(C)(CC1=CC2=C(C=CC=C2)C=C1)NC[C@@H](O)COC1=C(C#N)C=C(CCC(=O)O)C=C1,7.485452247,1.514547753,32.70000003,1
CC(=O)NC1=CC(C2=CC=C([C@H]3CN(C)C[C@@H]3NS(=O)(=O)C(C)C)C=C2)=CC=C1,4.899629455,4.100370545,12600,0
CC(=O)NC1=CC=C(CC(=O)N(C)C2CCN(CC3=CC=C(C(F)(F)F)C=C3)CC2)C=C1,5.346787486,3.653212514,4500.000002,1
CC(=O)NC1=CC=C(CCN2CCC(COC3=NC4=C(C=CC=C4)C4=CN(C)C=C43)CC2)C=C1,7.698970004,1.301029996,20.00000002,1
CC(=O)NC1=CC=C(CN2CCC(NC(=O)C3=CC(=O)C4=C(C=C(F)C=C4)O3)CC2)C=C1,7.321481621,1.678518379,47.7,1
CC(=O)NC1=CC=C(OCCCN2CCC(C3=NOC4=CC(F)=CC=C43)CC2)C=C1,5.525783736,3.474216264,2979.999999,1
CC(=O)NC1=NC=C(C2=CC3=C(N=C2)N=C(N2CCC(N4CCCCC4)CC2)S3)C=C1,4.397940009,4.602059991,39999.99997,0
CC(=O)NC1=NC=C(C2=NC=C3N=C(N4CCC(N5CCCCC5)CC4)SC3=C2)C=C1,5.069635853,3.930364147,8518.519992,1
CC(=O)NC1=NC(C)=C(C2=CC(S(C)(=O)=O)=C3C(=O)N([C@@H](C)C4CC4)CC3=C2)S1,4.499999953,4.500000047,31622.78002,0
CC(C)OC(=O)N1CCC(C)(CN2CCC3(CC2)CN(S(C)(=O)=O)C2=NC=CC=C23)CC1,5.560667306,3.439332694,2750.000001,1
CC(C)OC[C@H](OC1=C2C=NN(C3=C(Cl)C=CC=C3)C2=NC=N1)C(=O)NC1=NC=C(C#N)C=C1,4.900000142,4.099999858,12589.25,0
CC(C)OC[C@H](OC1=C2C=NN(C3=C(Cl)C=CC=N3)C2=NC=N1)C(=O)NC1=NC=C(C#N)C=C1,4.300000029,4.699999971,50118.72002,0
CC(C)OC[C@H](OC1=C2C=NN(C3=C(Cl)C=CC=N3)C2=NC=N1)C(=O)NC1=NC=C(Cl)C=C1,4.200000031,4.799999969,63095.72994,0
CC(C)OC[C@H](OC1=C2C=NN(C3=C(Cl)C=CC=C3)C2=NC=N1)C(=O)NC1=NC=C(F)C=C1,4.600000075,4.399999925,25118.85998,0
CC(C)OC[C@H](OC1=C2C=NN(C3=C(Cl)C=CC=N3)C2=NC=N1)C(=O)NC1=NC=C(F)C=C1,4.100000019,4.899999981,79432.82,0
CC(C)OC[C@H](OC1=C2C=NN(C3=C(Cl)C=CC=C3)C2=NC=N1)C(=O)NC1=NC=CC=C1,4.200000031,4.799999969,63095.72994,0
CC(C)OC1=C(C#N)C=C(C2=NC(C3=CC4=C(C=C3)CCN(C(CO)CO)CC4)=NO2)C=C1,4.7500001,4.2499999,17782.79001,0
CC(C)OC1=C(C#N)C=C(C2=NC(C3=CC4=C(C=C3)CN(C(CO)CO)CC4)=NO2)C=C1,4.700000069,4.299999931,19952.61998,0
CC(C)OC1=C(CC(C2=CC=CC=C2)N2CCNCC2)C=CC=C1,5.195860568,3.804139432,6369.999995,1
CC(C)OC1=CC(C(=O)NC2=NN(C)C=C2)=CC(OC2=CC=C(C(=O)N3CCC3)C=C2)=C1,4.568636236,4.431363764,26999.99999,0
CC(C)OC1=CC(N2CCN(CCN3CC4=C(C=CC=C4)C3)C2=O)=CC=C1,5.400000186,3.599999814,3981.070001,1
CC(C)OC1=NC=C(C2=CN3N=CC(C(N)=O)=C(N[C@@H]4CC[C@](C)(N)C4(C)C)C3=C2)C=C1,5.27572413,3.72427587,5300.000005,1
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=C(F)N=CC=C2)C=C1,5.200659451,3.799340549,6299.999993,1
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=CC(C(F)(F)F)=CC=C2)C=C1,5.397940009,3.602059991,3999.999997,1
CC(C)S(=O)(=O)N[C@H]1CN(C)C[C@@H]1C1=CC=C(C2=CC(NS(C)(=O)=O)=CC=C2)C=C1,4.500312917,4.499687083,31600.00003,0
